,hard_skills,id_annonce
326,NoSQL,43675208
326,ETL,43675208
326,Spark,43675208
326,Hadoop,43675208
326,PostgreSQL,43675208
326,machine learning,43675208
326,Plotly,43675208
326,Mac,43675208
326,Docker,43675208
327,DataViz,43944638
327,Excel,43944638
327,Tableau,43944638
329,Mac,44318246
329,Excel,44318246
329,Tableau,44318246
329,Power Bi,44318246
330,Access,43173175
330,SQL,43173175
331,Mac,43113610
331,machine learning,43113610
333,Tableau,41854660
334,Excel,43705843
334,Tableau,43705843
336,Access,44127683
336,Excel,44127683
336,Tableau,44127683
336,Power Bi,44127683
337,SAP,33256792
337,Jupyter,33256792
337,Hadoop,33256792
338,Excel,44384277
338,DataViz,44384277
338,Power Bi,44384277
339,SQL,39200974
340,Excel,43141997
342,Excel,43167880
342,Tableau,43167880
342,SQL,43167880
343,SQL,39151215
343,PySpark,39151215
343,NoSQL,39151215
343,Azure,39151215
343,Spark,39151215
343,Databricks,39151215
343,Datalake,39151215
345,Datalake,43239971
345,DAX,43239971
345,Power Bi,43239971
346,Mac,42689628
346,machine learning,42689628
346,SQL,42689628
347,Spark,41391703
347,Tableau,41391703
347,Apache,41391703
347,Hadoop,41391703
348,DataViz,43711856
348,Azure,43711856
348,Tableau,43711856
348,SQL,43711856
350,Mac,39238287
351,Oracle,41822807
351,ETL,41822807
351,SQL,41822807
352,Excel,36975763
352,Power Bi,36975763
353,VBA,38188897
353,Excel,38188897
353,Tableau,38188897
353,SQL,38188897
354,Excel,44153228
354,SQL,44153228
354,Azure,44153228
354,Access,44153228
354,PostgreSQL,44153228
354,Docker,44153228
355,SAP,43829192
355,Excel,43829192
355,Tableau,43829192
355,Power Bi,43829192
356,SQL,42347912
356,Spark,42347912
356,machine learning,42347912
356,Dataiku,42347912
356,Mac,42347912
357,SAP,42507093
358,Tableau,42661547
358,SQL,42661547
358,Javascript,42661547
358,DataViz,42661547
358,Qlik,42661547
359,VBA,38188696
359,Excel,38188696
360,Excel,44151001
361,Excel,42707461
362,Apache,44040545
362,SQL,44040545
362,MongoDB,44040545
362,NoSQL,44040545
362,Spark,44040545
362,Mac,44040545
363,ETL,43042431
363,SQL,43042431
366,Linux,35056510
366,Windows,35056510
367,SAP,44115742
367,Excel,44115742
368,Excel,44391247
368,Power Bi,44391247
368,SQL,44391247
369,Excel,43209413
369,SQL,43209413
370,Excel,14374269
370,Tableau,14374269
370,SQL,14374269
370,ETL,14374269
370,Qlik,14374269
370,MicroStrategy,14374269
371,Excel,41887281
371,Tableau,41887281
371,Access,41887281
371,Power Bi,41887281
371,ETL,41887281
371,SAP,41887281
371,Qlik,41887281
372,VBA,44317122
372,Excel,44317122
373,Javascript,43220633
373,Excel,43220633
373,Google Analytics,43220633
373,SQL,43220633
374,DataViz,44364270
374,Tableau,44364270
374,SQL,44364270
375,Excel,39305602
375,Tableau,39305602
375,SQL,39305602
375,Access,39305602
375,Power Bi,39305602
375,Qlik,39305602
376,Excel,44226919
376,Tableau,44226919
376,SQL,44226919
377,Excel,44249119
377,Tableau,44249119
377,SQL,44249119
377,Access,44249119
377,Power Bi,44249119
377,ETL,44249119
377,Oracle,44249119
377,SAP,44249119
378,Tableau,44263858
379,Looker,44213992
379,Tableau,44213992
379,Power Bi,44213992
380,DataViz,40349269
380,Power Bi,40349269
380,SQL,40349269
381,Tableau,44200135
381,DAX,44200135
381,Power Bi,44200135
381,SQL,44200135
382,SEMARCHY,44272069
382,Tableau,44272069
382,Power Bi,44272069
382,SQL,44272069
383,Access,44214760
383,Excel,44214760
383,Power Bi,44214760
384,VBA,44344095
385,SAP,44104421
385,Excel,44104421
387,SQL,41475039
387,MongoDB,41475039
387,NoSQL,41475039
387,SQL Server,41475039
387,PostgreSQL,41475039
387,QlikSens,41475039
387,ETL,41475039
387,Oracle,41475039
387,Qlik,41475039
388,Excel,42693546
388,Tableau,42693546
388,SQL,42693546
389,SQL,43380522
390,ML,44352132
390,Excel,44352132
390,data mining,44352132
390,SQL,44352132
390,Access,44352132
390,VBA,44352132
390,Power Bi,44352132
391,Qlik,44457810
392,Excel,40189607
392,Tableau,40189607
392,SQL,40189607
393,SAP,44313947
393,Excel,44313947
394,Excel,40191501
394,SQL,40191501
394,MySQL,40191501
394,Hadoop,40191501
394,Power Bi,40191501
394,ETL,40191501
394,Oracle,40191501
394,SAP,40191501
395,Spark,34099233
395,Power Bi,34099233
395,Hadoop,34099233
396,Spark,31413099
396,Power Bi,31413099
396,Hadoop,31413099
397,Excel,30171594
397,Spark,30171594
398,ML,41373784
398,Excel,41373784
398,Tableau,41373784
398,SQL,41373784
398,SAP,41373784
398,Looker,41373784
399,SAP,30446603
399,Excel,30446603
399,SQL,30446603
400,Access,43097861
400,Power Bi,43097861
401,Mac,44284486
401,Excel,44284486
401,SQL,44284486
